Algorithm;LoadFactor;Trial;OpType;AvgTimeNs;AvgProbes
LinearProbing;0,50;1;Insert;76;0,50
LinearProbing;0,50;1;Search;137;1,53
LinearProbing;0,50;1;ClusteredSearch;46;1,44
LinearProbing;0,50;2;Insert;33;0,51
LinearProbing;0,50;2;Search;45;1,55
LinearProbing;0,50;2;ClusteredSearch;29;1,49
LinearProbing;0,50;3;Insert;29;0,50
LinearProbing;0,50;3;Search;39;1,50
LinearProbing;0,50;3;ClusteredSearch;16;1,59
LinearProbing;0,50;4;Insert;29;0,49
LinearProbing;0,50;4;Search;35;1,54
LinearProbing;0,50;4;ClusteredSearch;11;1,45
LinearProbing;0,50;5;Insert;31;0,49
LinearProbing;0,50;5;Search;40;1,51
LinearProbing;0,50;5;ClusteredSearch;15;1,11
LinearProbing;0,50;6;Insert;28;0,50
LinearProbing;0,50;6;Search;38;1,50
LinearProbing;0,50;6;ClusteredSearch;11;1,12
LinearProbing;0,50;7;Insert;29;0,50
LinearProbing;0,50;7;Search;36;1,45
LinearProbing;0,50;7;ClusteredSearch;14;1,60
LinearProbing;0,50;8;Insert;29;0,50
LinearProbing;0,50;8;Search;36;1,45
LinearProbing;0,50;8;ClusteredSearch;12;1,12
LinearProbing;0,50;9;Insert;29;0,50
LinearProbing;0,50;9;Search;36;1,48
LinearProbing;0,50;9;ClusteredSearch;12;1,27
LinearProbing;0,50;10;Insert;28;0,50
LinearProbing;0,50;10;Search;36;1,49
LinearProbing;0,50;10;ClusteredSearch;13;1,60
LinearProbing;0,50;11;Insert;29;0,50
LinearProbing;0,50;11;Search;38;1,49
LinearProbing;0,50;11;ClusteredSearch;13;1,65
LinearProbing;0,50;12;Insert;31;0,50
LinearProbing;0,50;12;Search;39;1,47
LinearProbing;0,50;12;ClusteredSearch;15;1,74
LinearProbing;0,50;13;Insert;27;0,50
LinearProbing;0,50;13;Search;37;1,49
LinearProbing;0,50;13;ClusteredSearch;11;1,15
LinearProbing;0,50;14;Insert;26;0,49
LinearProbing;0,50;14;Search;36;1,52
LinearProbing;0,50;14;ClusteredSearch;11;1,49
LinearProbing;0,50;15;Insert;26;0,51
LinearProbing;0,50;15;Search;36;1,49
LinearProbing;0,50;15;ClusteredSearch;11;1,56
LinearProbing;0,50;16;Insert;41;0,49
LinearProbing;0,50;16;Search;39;1,47
LinearProbing;0,50;16;ClusteredSearch;12;1,49
LinearProbing;0,50;17;Insert;25;0,50
LinearProbing;0,50;17;Search;36;1,47
LinearProbing;0,50;17;ClusteredSearch;11;1,43
LinearProbing;0,50;18;Insert;26;0,50
LinearProbing;0,50;18;Search;37;1,55
LinearProbing;0,50;18;ClusteredSearch;17;1,57
LinearProbing;0,50;19;Insert;51;0,50
LinearProbing;0,50;19;Search;59;1,48
LinearProbing;0,50;19;ClusteredSearch;20;1,46
LinearProbing;0,50;20;Insert;39;0,50
LinearProbing;0,50;20;Search;53;1,47
LinearProbing;0,50;20;ClusteredSearch;14;1,21
LinearProbing;0,50;21;Insert;65;0,50
LinearProbing;0,50;21;Search;91;1,49
LinearProbing;0,50;21;ClusteredSearch;29;1,17
